Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,price
2009,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Importée neuve,Non,12 CV,Excellent,130 000 DH
2017,Automatique,Diesel,190 000 - 199 999,Audi,Q5,5,Dédouanée,Non,8 CV,Très bon,
2023,Automatique,Diesel,40 000 - 44 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,425 000 DH
2017,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Très bon,
2019,Automatique,Diesel,190 000 - 199 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2009,Automatique,Diesel,30 000 - 34 999,Audi,Q5,5,WW au Maroc,Non,11 CV,Très bon,85 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,178 000 DH
2021,Automatique,Diesel,130 000 - 139 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,400 000 DH
2017,Automatique,Diesel,160 000 - 169 999,Audi,Q5,3,Dédouanée,Oui,8 CV,Excellent,415 000 DH
2021,Automatique,Diesel,110 000 - 119 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,330 000 DH
2017,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,415 000 DH
2021,Automatique,Diesel,85 000 - 89 999,Audi,Q5,3,WW au Maroc,Oui,8 CV,Excellent,
2012,Manuelle,Diesel,190 000 - 199 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Très bon,
2017,Automatique,Diesel,160 000 - 169 999,Mercedes-Benz,220,5,WW au Maroc,Oui,9 CV,Excellent,
2023,Automatique,Diesel,25 000 - 29 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2019,Automatique,Diesel,100 000 - 109 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2014,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,265 000 DH
2011,Manuelle,Diesel,160 000 - 169 999,Audi,Q5,5,,,8 CV,Très bon,155 000 DH
2021,Automatique,Diesel,140 000 - 149 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,385 000 DH
2021,Automatique,Diesel,70 000 - 74 999,Audi,Q5,5,Dédouanée,Non,9 CV,Excellent,660 000 DH
2019,Automatique,Diesel,160 000 - 169 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,400 000 DH
2014,Automatique,Diesel,190 000 - 199 999,Audi,Q5,5,Dédouanée,Non,8 CV,Très bon,285 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,178 000 DH
2021,Automatique,Diesel,60 000 - 64 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2012,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Dédouanée,Non,12 CV,Très bon,
2022,Automatique,Diesel,55 000 - 59 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2020,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Bon,360 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2012,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Dédouanée,Non,8 CV,Très bon,220 000 DH
2017,Automatique,Diesel,250 000 - 299 999,Audi,Q5,5,Dédouanée,Non,8 CV,Très bon,
2020,Automatique,Diesel,85 000 - 89 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2015,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,300 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,178 000 DH
2014,Automatique,Diesel,130 000 - 139 999,Audi,Q5,5,Dédouanée,Oui,12 CV,Excellent,220 000 DH
2016,Automatique,Diesel,60 000 - 64 999,Audi,Q5,5,Importée neuve,,8 CV,Excellent,370 000 DH
2015,Automatique,Diesel,170 000 - 179 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Très bon,
2013,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Très bon,170 000 DH
2019,Automatique,Diesel,15 000 - 19 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2020,Automatique,Diesel,150 000 - 159 999,Audi,Q5,5,,Oui,8 CV,Très bon,
2010,Automatique,Diesel,250 000 - 299 999,Audi,Q5,5,WW au Maroc,Non,11 CV,Très bon,115 000 DH
2022,Automatique,Diesel,55 000 - 59 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2011,Automatique,Diesel,250 000 - 299 999,Audi,Q5,5,Dédouanée,Non,8 CV,Excellent,182 000 DH
2017,Automatique,Diesel,120 000 - 129 999,Audi,Q5,,Dédouanée,Non,8 CV,Excellent,
2021,Automatique,Diesel,65 000 - 69 999,Audi,Q5,5,Dédouanée,Non,12 CV,Excellent,
2019,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Très bon,
2023,Automatique,Diesel,40 000 - 44 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2015,Automatique,Diesel,160 000 - 169 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Très bon,
2018,Automatique,Diesel,170 000 - 179 999,Audi,Q5,5,Pas encore dédouanée,Oui,9 CV,Neuf,
2018,Automatique,Diesel,140 000 - 149 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2021,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Très bon,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2020,Automatique,Diesel,120 000 - 129 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2014,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,265 000 DH
2017,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,290 000 DH
2012,Manuelle,Diesel,170 000 - 179 999,Audi,Q5,5,,Non,8 CV,Très bon,
2014,Automatique,Diesel,160 000 - 169 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,240 000 DH
2013,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,165 000 DH
2021,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,465 000 DH
2023,Automatique,Diesel,45 000 - 49 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2022,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2011,Automatique,Essence,120 000 - 129 999,Audi,Q5,5,Dédouanée,Oui,18 CV,Excellent,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2017,Automatique,Diesel,110 000 - 119 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,280 000 DH
2019,Automatique,Diesel,95 000 - 99 999,Audi,Q5,,WW au Maroc,Oui,8 CV,Très bon,
2019,Automatique,Diesel,160 000 - 169 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2018,Manuelle,Diesel,90 000 - 94 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Pour Pièces,370 000 DH
2019,Automatique,Diesel,160 000 - 169 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,500 000 DH
2018,Automatique,Diesel,170 000 - 179 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Très bon,340 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2012,Automatique,Diesel,25 000 - 29 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Très bon,170 000 DH
2019,Automatique,Diesel,95 000 - 99 999,Audi,Q8,5,Importée neuve,Non,12 CV,Neuf,
2020,Automatique,Diesel,130 000 - 139 999,Audi,Q5,,WW au Maroc,,8 CV,Très bon,355 000 DH
2013,Automatique,Diesel,200 000 - 249 999,Audi,Q5,,Dédouanée,,8 CV,Excellent,225 000 DH
2021,Automatique,Diesel,55 000 - 59 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2018,Automatique,Diesel,150 000 - 159 999,Audi,Q5,5,WW au Maroc,Non,33 CV,Très bon,362 000 DH
2019,Automatique,Essence,100 000 - 109 999,Porsche,Cayenne,5,Importée neuve,,17 CV,Excellent,
2021,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,418 000 DH
2019,Automatique,Diesel,160 000 - 169 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,385 000 DH
2012,Automatique,Diesel,150 000 - 159 999,Audi,Q5,5,,Non,10 CV,Très bon,165 000 DH
2019,Automatique,Diesel,120 000 - 129 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,350 000 DH
2017,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Importée neuve,Oui,8 CV,Très bon,
2010,Manuelle,Diesel,200 000 - 249 999,Audi,A5,5,Dédouanée,Non,8 CV,Très bon,159 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2020,Automatique,Diesel,110 000 - 119 999,Audi,Q5,5,WW au Maroc,Oui,7 CV,Excellent,370 000 DH
2016,Automatique,Diesel,110 000 - 119 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,265 000 DH
2014,Automatique,Diesel,170 000 - 179 999,Audi,Q5,5,Importée neuve,Oui,8 CV,Excellent,
2014,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,265 000 DH
2015,Automatique,Diesel,140 000 - 149 999,Audi,Q5,5,WW au Maroc,Non,10 CV,Excellent,
2014,Automatique,Diesel,110 000 - 119 999,Audi,Q5,,Dédouanée,,8 CV,Excellent,258 000 DH
2012,Automatique,Diesel,20 000 - 24 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Très bon,219 000 DH
2016,Automatique,Diesel,130 000 - 139 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,
2016,Automatique,Diesel,150 000 - 159 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,
2018,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Importée neuve,Oui,8 CV,Excellent,410 000 DH
2012,Automatique,Diesel,25 000 - 29 999,Audi,Q5,5,Dédouanée,Non,8 CV,Excellent,240 000 DH
2018,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,350 000 DH
2018,Automatique,Diesel,170 000 - 179 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,349 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2021,Automatique,Diesel,120 000 - 129 999,Audi,Q5,,Dédouanée,,8 CV,Excellent,
2017,Automatique,Diesel,140 000 - 149 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,289 900 DH
2017,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Dédouanée,,8 CV,Excellent,360 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Ford,Ka,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2016,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,Dédouanée,Non,8 CV,Excellent,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,178 000 DH
2016,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Dédouanée,,8 CV,Excellent,279 000 DH
2019,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Dédouanée,Oui,9 CV,Excellent,
2013,Automatique,Diesel,190 000 - 199 999,Audi,Q5,5,Importée neuve,Non,8 CV,Excellent,
2021,Automatique,Diesel,110 000 - 119 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Neuf,395 000 DH
2017,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Excellent,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2020,Automatique,Diesel,150 000 - 159 999,Audi,Q5,,WW au Maroc,,8 CV,Excellent,350 000 DH
2020,Automatique,Diesel,120 000 - 129 999,Audi,Q5,,,,8 CV,Excellent,414 999 DH
2010,Manuelle,Diesel,250 000 - 299 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,
2024,Automatique,Diesel,50 000 - 54 999,Mercedes-Benz,Classe C,5,Dédouanée,Oui,8 CV,Neuf,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2018,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Très bon,360 000 DH
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2019,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,
2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,178 000 DH
2021,Automatique,Diesel,95 000 - 99 999,Audi,Q5,5,WW au Maroc,Oui,9 CV,Excellent,390 000 DH
2018,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Très bon,360 000 DH
2010,Automatique,Diesel,250 000 - 299 999,Audi,Q5,5,WW au Maroc,Non,12 CV,Excellent,122 000 DH
2014,Automatique,Diesel,180 000 - 189 999,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,265 000 DH
